num_layers,learning_rate,dropout_rate,optimizer,activation,conv_units,padding,pooling_type,use_batch_norm,pooling_size,dense_units,regularization_type,l1_reg,batch_size,epochs,Trial ID,Final Validation Loss,l1_ratio,l2_reg
4,0.0001,0.1,sgd,tanh,96,same,max,True,2x2,14,l1,0.0003346823088038979,16,15,00,\textbf{1.3246244192123413},,
2,0.01,0.4,sgd,relu,64,same,max,True,2x1,16,l1,0.0014567320952541029,32,15,01,\textbf{2.551304650306702},,
2,0.01,0.1,rmsprop,selu,96,same,average,True,3x3,8,l1,0.006157868074631099,64,40,02,\textbf{2.0534120082855223},,
3,0.0001,0.1,sgd,relu,128,same,max,True,2x1,10,elasticnet,0.002195919243223695,32,30,03,\textbf{0.24164851903915405},0.0,1e-05
4,0.0001,0.30000000000000004,adam,tanh,96,same,max,True,3x3,12,elasticnet,0.004071191798858112,64,50,04,\textbf{0.5015852630138398},0.30000000000000004,2.801803268296295e-05
2,0.001,0.0,rmsprop,tanh,32,same,max,False,2x2,2,l2,1.3926765433494613e-05,64,15,05,\textbf{0.03171596713364124},0.5,1.3768736261195804e-05
2,0.01,0.1,sgd,tanh,32,same,average,False,3x3,12,l1,0.002006973134704176,128,50,06,\textbf{1.5459439754486084},0.30000000000000004,9.48604366516959e-05
2,0.01,0.1,sgd,tanh,96,same,max,True,3x1,2,l2,0.004663219257760953,64,30,07,\textbf{0.21309929192066193},0.5,5.463916437245478e-05
2,0.0001,0.30000000000000004,sgd,selu,96,same,average,True,2x2,16,elasticnet,0.0003803030853900983,64,40,08,\textbf{1.3572032690048217},0.8,0.0005358899475860788
3,0.001,0.0,adam,tanh,32,same,average,True,2x2,2,l1,1.0682965103787715e-05,16,50,09,\textbf{0.18152204751968384},0.9,0.00012319272662393167
3,0.0001,0.4,rmsprop,tanh,32,same,average,False,2x2,12,l2,0.0019962321212215937,64,15,10,\textbf{0.25047276020050047},0.4,0.0005745069577034734
4,0.01,0.2,sgd,tanh,32,same,max,False,3x1,2,l2,8.832009411265434e-05,64,40,11,\textbf{0.4121865153312683},0.1,0.00039762510077351115
