learning_rate,num_layers,dense_size1,dropout_rate,optimizer,activation,use_batch_norm,regularization_type,l1_reg,l2_reg,batch_size,epochs,Trial ID,Final Validation Loss,l1_ratio
0.0001,3,16,0.30000000000000004,sgd,tanh,True,l2,7.213894202014545e-05,1e-05,16,15,00,\textbf{0.118118517100811},
0.001,3,16,0.2,adam,relu,True,l2,1.4697324941645275e-05,2.4843839884258213e-05,64,15,01,\textbf{0.113947194814682},
0.0001,2,32,0.1,rmsprop,tanh,False,l1,2.154422056253823e-05,1.9536509667941464e-05,128,50,02,\textbf{0.1223057597875595},
0.001,3,32,0.30000000000000004,rmsprop,tanh,False,elasticnet,3.8386323724581804e-05,3.896040230223025e-05,64,50,03,\textbf{0.11496561020612717},0.0
0.01,2,16,0.30000000000000004,sgd,relu,True,l1,3.512085125837591e-05,8.258344932893424e-05,128,30,04,\textbf{0.12248590737581252},0.4
0.0001,3,24,0.0,sgd,tanh,False,l2,5.223774427813472e-05,9.606401217096411e-05,64,50,05,\textbf{0.12598102390766144},0.8
0.0001,3,16,0.0,adam,tanh,False,elasticnet,3.0383997994865222e-05,1.2724715302156237e-05,16,15,06,\textbf{0.11452777683734894},0.2
0.01,2,24,0.0,sgd,relu,True,l1,1.703037494541019e-05,1.1849745292741677e-05,32,30,07,\textbf{0.12192836701869965},0.6000000000000001
0.01,2,32,0.0,rmsprop,tanh,False,elasticnet,5.9371325272861405e-05,6.232206265540669e-05,32,30,08,\textbf{0.11304723769426346},0.2
0.01,2,24,0.2,sgd,selu,False,elasticnet,4.958056304257334e-05,1.1397860150339156e-05,32,50,09,\textbf{0.12566193342208862},0.7000000000000001
0.001,3,16,0.0,rmsprop,selu,True,elasticnet,5.131759673095555e-05,3.145183279643463e-05,64,40,10,\textbf{0.11518273353576661},0.2
0.0001,3,24,0.30000000000000004,sgd,selu,True,l2,2.5304970740144135e-05,1.3791767316773848e-05,16,40,11,\textbf{0.12660590410232545},0.1
0.0001,3,32,0.2,adam,relu,False,l1,6.2064010899357e-05,9.540643493206451e-05,32,30,12,\textbf{0.11817905753850937},0.8
0.0001,3,24,0.0,sgd,selu,False,l2,5.272011925092078e-05,3.713068201114773e-05,128,40,13,\textbf{0.14259239733219148},0.1
0.001,3,32,0.0,sgd,tanh,True,l1,7.762790011109778e-05,1.8716063682586817e-05,16,40,14,\textbf{0.161367467045784},0.0
0.001,2,32,0.30000000000000004,adam,tanh,True,l2,6.860211454828152e-05,3.4011497173310025e-05,32,30,15,\textbf{0.11324107199907303},0.5
0.01,2,24,0.30000000000000004,adam,tanh,True,l2,1.1944974001553e-05,6.513511975757244e-05,128,30,16,\textbf{0.11304211169481278},0.0
0.0001,2,16,0.30000000000000004,sgd,selu,True,l2,4.303122623380765e-05,1.9445780937818353e-05,64,40,17,\textbf{0.12671111822128295},0.2
0.0001,2,16,0.0,rmsprop,selu,False,l2,3.759242208135173e-05,2.30154116174254e-05,128,50,18,\textbf{0.11536364555358887},0.7000000000000001
0.001,3,16,0.30000000000000004,sgd,tanh,False,l2,7.623068977517786e-05,4.5234772164683154e-05,128,15,19,\textbf{0.11921663284301758},0.30000000000000004
0.0001,2,16,0.2,rmsprop,selu,False,l1,4.257371845059055e-05,1.3438776902626613e-05,64,50,20,\textbf{0.12111150622367858},0.2
0.01,3,24,0.0,sgd,relu,False,l1,6.932884808892656e-05,5.807926852738232e-05,64,30,21,\textbf{0.1385752171278},0.7000000000000001
