num_layers,learning_rate,dropout_rate,optimizer,activation,conv_units,padding,pooling_type,use_batch_norm,pooling_size,dense_units,regularization_type,l1_reg,batch_size,epochs,l1_ratio,l2_reg,Trial ID,Final Validation Loss
2,0.01,0.1,rmsprop,selu,64,same,max,0,2x1,16,l2,1.9208e-04,16,30,0.1,7.0062e-03,17,0.0973
2,0.001,0.3,adam,selu,96,same,max,0,3x1,16,elasticnet,2.8522e-03,128,15,0.5,3.2272e-03,42,0.2428
2,0.001,0.4,adam,relu,128,same,max,1,2x1,2,l1,2.3102e-03,128,40,0.3,2.1582e-03,16,0.0748
3,0.0001,0.0,adam,selu,128,same,average,0,2x1,16,l1,1.6966e-05,128,40,0.4,1.2210e-03,44,0.2038
4,0.001,0.3,rmsprop,relu,96,same,max,1,3x3,16,l1,3.6084e-03,64,50,0.9,1.2741e-03,39,0.4505
4,0.01,0.0,sgd,tanh,64,same,max,0,2x2,8,l2,2.8255e-05,128,15,0.7,4.9090e-05,38,0.2979
2,0.01,0.0,rmsprop,selu,32,same,average,0,3x3,14,elasticnet,3.1947e-04,64,15,0.7,1.2206e-04,14,0.2222
3,0.001,0.1,rmsprop,selu,32,same,max,0,2x2,4,l2,2.0526e-04,128,40,0.3,6.8828e-03,37,0.2302
4,0.01,0.1,rmsprop,selu,128,same,average,1,3x3,6,l1,9.6172e-05,64,30,0.9,4.0912e-04,35,0.372
2,0.01,0.4,sgd,relu,64,same,max,1,2x1,16,l1,7.6649e-04,32,15,,,01,0.4692
2,0.01,0.1,sgd,tanh,96,same,max,1,3x1,2,l2,3.6162e-03,64,30,0.5,5.4639e-05,07,0.2077
4,0.0001,0.0,sgd,relu,96,same,max,0,2x1,6,l2,1.5325e-06,128,15,0.1,2.2565e-03,21,0.8636
2,0.0001,0.3,sgd,selu,96,same,average,1,2x2,16,elasticnet,1.2789e-04,64,40,0.8,5.3589e-04,08,0.5755
3,0.01,0.1,rmsprop,tanh,128,same,max,1,2x2,2,l2,9.5682e-04,128,30,0.0,7.7166e-04,15,0.2053
3,0.01,0.2,rmsprop,selu,96,same,average,1,3x3,16,l2,6.5175e-03,128,50,0.0,1.1570e-04,48,0.3156
2,0.001,0.3,sgd,relu,128,same,max,0,3x1,2,l2,9.5121e-06,32,30,0.3,1.6173e-04,34,0.2838
4,0.001,0.4,sgd,tanh,64,same,max,0,2x2,12,l1,4.5334e-04,128,30,0.0,2.7634e-03,12,1.0414
4,0.0001,0.1,sgd,tanh,96,same,max,1,2x2,14,l1,1.0786e-04,16,15,,,00,0.6248
2,0.01,0.1,sgd,tanh,32,same,average,0,3x3,12,l1,1.1750e-03,128,50,0.3,9.4860e-05,06,0.5412
3,0.001,0.1,sgd,selu,32,same,average,1,2x2,16,elasticnet,3.8769e-05,32,50,0.7,1.4485e-03,31,0.2802
4,0.001,0.3,adam,relu,32,same,max,0,2x1,12,l2,1.4636e-06,32,40,0.1,5.1923e-04,18,0.2845
2,0.001,0.0,rmsprop,selu,64,same,max,1,3x1,16,l2,1.1143e-03,16,40,0.9,4.9959e-04,22,0.1929
3,0.0001,0.2,sgd,selu,32,same,max,1,3x3,4,elasticnet,1.4898e-06,128,30,0.1,6.7318e-05,46,0.3456
4,0.001,0.4,adam,tanh,32,same,max,0,3x1,10,elasticnet,4.7528e-06,128,30,0.2,2.9435e-03,33,0.3603
3,0.0001,0.4,rmsprop,tanh,32,same,average,0,2x2,12,l2,1.1667e-03,64,15,0.4,5.7451e-04,10,0.2275
2,0.001,0.0,rmsprop,tanh,32,same,max,0,2x2,2,l2,1.5553e-06,64,15,0.5,1.3769e-05,05,0.0124
4,0.01,0.1,adam,selu,96,same,max,1,3x3,10,l2,1.2677e-06,32,30,0.3,1.9531e-04,36,0.3566
4,0.0001,0.3,adam,tanh,96,same,max,1,3x3,12,elasticnet,3.0174e-03,64,50,0.3,2.8018e-05,04,0.3601
4,0.0001,0.0,adam,selu,64,same,max,1,3x1,10,elasticnet,1.0853e-05,64,15,0.7,5.8207e-05,24,0.3597
4,0.001,0.0,sgd,selu,32,same,average,1,2x2,6,l1,3.1776e-04,32,50,0.6,6.6583e-05,41,0.4545
2,0.01,0.4,rmsprop,relu,32,same,max,1,2x1,12,l2,4.6812e-03,128,30,0.6,3.3917e-03,45,0.0283
4,0.01,0.2,rmsprop,relu,64,same,average,0,2x2,16,elasticnet,3.0657e-06,64,15,0.4,7.4381e-05,28,0.2756
2,0.0001,0.2,adam,selu,128,same,max,0,2x1,14,elasticnet,2.0048e-04,16,30,0.5,4.6859e-03,40,0.074
4,0.0001,0.1,sgd,relu,64,same,max,0,2x1,6,l2,3.3904e-05,64,40,0.6,8.5180e-04,27,0.4435
3,0.001,0.0,adam,tanh,32,same,average,1,2x2,2,l1,1.0921e-06,16,50,0.9,1.2319e-04,09,0.1895
4,0.01,0.2,sgd,tanh,32,same,max,0,3x1,2,l2,1.8256e-05,64,40,0.1,3.9763e-04,11,0.3909
4,0.01,0.0,rmsprop,tanh,32,same,max,1,3x3,10,l2,1.4299e-05,64,40,0.2,6.9369e-03,13,0.3599
2,0.01,0.0,adam,relu,128,same,average,0,3x3,10,l1,1.9098e-04,32,30,0.2,9.5809e-03,26,0.2371
2,0.01,0.3,sgd,selu,128,same,average,0,2x2,2,l1,1.0396e-04,128,50,0.9,8.4451e-05,43,0.4687
4,0.0001,0.0,adam,selu,96,same,max,1,2x1,10,l1,2.1977e-06,64,40,0.7,4.3704e-05,23,0.2762
2,0.001,0.2,rmsprop,selu,128,same,max,0,3x3,14,l1,1.6781e-03,64,30,0.9,1.9081e-03,47,0.3224
3,0.001,0.2,rmsprop,selu,96,same,max,1,2x1,16,elasticnet,3.2343e-05,64,50,0.9,5.3747e-03,19,0.1908
3,0.0001,0.1,sgd,relu,128,same,max,1,2x1,10,elasticnet,1.3248e-03,32,30,0.0,1.0000e-05,03,0.2267
3,0.001,0.3,sgd,tanh,64,same,average,0,2x2,8,l2,8.9880e-03,64,30,0.3,6.1051e-05,32,0.2426
4,0.01,0.3,sgd,relu,128,same,max,0,2x1,2,l2,2.6330e-06,128,40,0.5,6.7621e-03,49,0.7519
3,0.001,0.0,adam,tanh,64,same,max,0,3x1,10,l2,2.5370e-04,64,40,0.1,3.2831e-03,30,0.3237
4,0.001,0.2,sgd,tanh,32,same,average,0,2x2,8,l1,4.0325e-06,32,15,0.8,8.5524e-03,25,0.2933
4,0.0001,0.1,adam,selu,128,same,average,1,2x2,2,l1,9.1276e-05,32,40,0.6,7.2565e-03,29,0.2761
2,0.001,0.3,sgd,relu,64,same,average,1,2x2,16,l1,2.3697e-04,128,30,0.8,5.1122e-05,20,0.6806
2,0.01,0.1,rmsprop,selu,96,same,average,1,3x3,8,l1,5.2389e-03,64,40,,,02,1.7989
