learning_rate,num_layers,dense_size1,dropout_rate,optimizer,activation,use_batch_norm,regularization_type,l1_reg,l2_reg,batch_size,epochs,l1_ratio,Trial ID,Final Validation Loss
0.01,2,24,0.0,sgd,relu,1,l1,2.9003e-06,1.4042e-06,32,30,0.6,07,0.1278
0.01,3,32,0.1,sgd,tanh,0,elasticnet,1.0483e-05,6.3301e-06,32,30,0.9,42,0.1214
0.001,3,32,0.0,sgd,tanh,1,l1,6.0261e-05,3.5029e-06,16,40,0.0,14,0.1489
0.01,2,24,0.3,adam,tanh,1,l2,1.4268e-06,4.2426e-05,128,30,0.0,16,0.116
0.001,2,32,0.0,sgd,selu,1,l1,9.0701e-05,2.8228e-05,16,15,0.6,44,0.1664
0.0001,3,32,0.1,sgd,relu,0,elasticnet,4.3239e-06,2.1998e-06,16,30,0.6,35,0.1184
0.0001,2,16,0.3,sgd,selu,1,l2,1.8517e-05,3.7814e-06,64,40,0.2,17,0.1286
0.001,2,32,0.3,adam,tanh,1,l2,4.7063e-05,1.1568e-05,32,30,0.5,15,0.116
0.01,2,32,0.0,rmsprop,relu,1,l2,2.1805e-06,1.3819e-05,32,30,0.2,34,0.116
0.001,2,16,0.2,adam,relu,0,l1,6.2990e-05,9.0100e-05,16,15,0.1,33,0.116
0.001,2,16,0.1,sgd,relu,0,l1,1.1611e-06,1.5841e-05,64,30,0.6,39,0.1174
0.001,3,16,0.2,adam,relu,1,l2,2.1601e-06,6.1722e-06,64,15,,01,0.1162
0.01,3,24,0.0,sgd,relu,0,l1,4.8065e-05,3.3732e-05,64,30,0.7,21,0.1331
0.01,2,24,0.3,rmsprop,tanh,0,l2,1.5409e-06,1.0518e-06,128,30,0.5,22,0.1161
0.01,2,32,0.4,adam,tanh,0,l2,3.8104e-06,8.4541e-05,64,30,0.1,37,0.116
0.0001,2,32,0.3,adam,relu,1,l1,7.7194e-06,2.1517e-06,128,40,0.5,31,0.1212
0.0001,3,16,0.4,rmsprop,tanh,0,l1,9.5539e-06,4.9507e-06,64,40,0.9,38,0.1181
