dense_units,learning_rate,dropout_rate,activation,use_batch_norm,optimizer,regularization_type,l1_reg,l2_reg,batch_size,epochs,l1_ratio,Trial ID,Final Validation Loss
24,0.001,0.0,relu,0,adam,l1,1.3326e-06,5.0170e-06,16,40,0.0,07,0.116
24,0.0001,0.2,tanh,0,adam,l2,3.6457e-06,3.6339e-06,16,15,0.5,42,0.1161
16,0.001,0.2,relu,0,sgd,elasticnet,3.7281e-06,2.1292e-05,128,30,0.0,17,0.1179
24,0.01,0.2,relu,1,rmsprop,l1,1.1650e-05,4.6196e-05,64,50,0.5,16,0.116
16,0.0001,0.2,tanh,0,sgd,l1,2.0567e-05,1.6432e-05,32,30,0.4,35,0.1215
32,0.0001,0.2,relu,1,rmsprop,l2,9.1423e-06,2.7794e-05,64,50,0.5,14,0.1175
8,0.0001,0.3,tanh,0,rmsprop,elasticnet,6.2265e-06,3.8317e-06,128,50,0.7,44,0.1169
32,0.001,0.3,relu,1,adam,l1,4.1148e-05,1.9296e-05,16,30,,01,0.116
8,0.001,0.4,tanh,1,adam,l2,8.6820e-05,8.1513e-06,16,30,0.7,21,0.116
32,0.001,0.1,relu,0,rmsprop,l1,2.1998e-06,1.4099e-06,32,40,0.3,38,0.1164
24,0.01,0.1,relu,0,sgd,l2,1.1629e-06,9.3361e-06,128,15,0.7,08,0.1181
8,0.0001,0.0,selu,1,adam,l2,3.6181e-06,7.1342e-06,32,50,0.7,37,0.1161
8,0.001,0.2,selu,0,sgd,l2,1.2874e-05,2.5431e-06,128,30,0.1,15,0.1229
24,0.001,0.0,selu,1,adam,l1,2.2790e-05,1.4666e-06,32,15,0.4,48,0.116
32,0.01,0.2,relu,1,rmsprop,l2,3.7557e-05,3.2944e-06,64,15,0.7,34,0.1161
8,0.001,0.0,relu,1,sgd,elasticnet,2.6731e-06,3.1019e-05,64,15,0.0,33,0.1199
24,0.001,0.3,tanh,1,adam,l2,5.3662e-05,3.6221e-06,32,30,0.6,39,0.116
24,0.0001,0.3,selu,1,rmsprop,elasticnet,4.1410e-06,1.9874e-06,16,40,0.0,06,0.1161
32,0.0001,0.1,tanh,0,sgd,l2,9.7804e-06,1.0000e-06,16,15,,00,0.1182
32,0.0001,0.1,tanh,1,rmsprop,l2,1.1699e-06,4.9571e-06,64,30,0.3,05,0.1163
8,0.0001,0.4,tanh,1,adam,l2,2.7934e-05,8.0319e-05,32,50,0.0,31,0.1161
32,0.001,0.0,tanh,0,sgd,elasticnet,3.1556e-06,3.8747e-06,128,30,0.0,22,0.1181
32,0.0001,0.1,relu,1,sgd,l1,3.6300e-05,9.2244e-06,128,50,0.5,18,0.126
24,0.001,0.3,selu,1,sgd,l2,1.9021e-06,2.4908e-06,64,15,0.9,12,0.1202
24,0.0001,0.2,selu,1,adam,l2,6.0135e-05,2.9018e-05,32,40,0.2,10,0.1161
8,0.0001,0.4,relu,1,rmsprop,l2,1.6048e-06,1.7649e-06,32,30,0.6,41,0.1161
8,0.001,0.3,tanh,0,adam,elasticnet,1.2703e-05,1.1193e-05,32,50,0.1,28,0.116
8,0.01,0.2,relu,1,rmsprop,l1,1.3539e-06,1.6531e-06,32,30,0.9,36,0.1161
32,0.0001,0.1,relu,0,adam,l1,9.6443e-05,5.0999e-06,64,15,0.4,24,0.1172
8,0.001,0.4,selu,0,sgd,l1,9.2422e-06,3.8104e-06,128,40,0.3,40,0.1203
24,0.001,0.3,relu,0,adam,elasticnet,1.7189e-05,3.0449e-06,128,15,0.5,04,0.1161
24,0.001,0.0,tanh,1,adam,l2,1.3388e-05,2.0397e-05,64,50,0.9,26,0.116
24,0.0001,0.1,selu,0,rmsprop,elasticnet,5.6871e-06,1.5701e-05,128,50,0.9,27,0.1174
24,0.001,0.3,tanh,1,adam,l2,5.6290e-05,5.7085e-06,32,30,0.3,45,0.116
8,0.0001,0.3,tanh,1,rmsprop,l2,2.0624e-05,2.1078e-05,32,50,0.7,11,0.1164
24,0.01,0.0,relu,1,rmsprop,elasticnet,3.9891e-06,3.5980e-05,16,15,0.3,23,0.116
24,0.001,0.3,tanh,1,adam,elasticnet,1.3051e-05,1.0694e-05,32,40,0.9,43,0.116
24,0.0001,0.2,relu,0,adam,l1,3.8519e-05,9.1024e-05,32,30,0.8,13,0.116
8,0.0001,0.4,tanh,1,adam,l1,3.1379e-06,1.7624e-06,16,15,0.2,25,0.1161
16,0.0001,0.4,tanh,1,rmsprop,elasticnet,6.6847e-05,5.9920e-06,16,50,0.5,03,0.1174
24,0.01,0.3,relu,1,adam,elasticnet,6.0681e-06,1.4275e-06,16,30,0.0,02,0.116
32,0.001,0.2,tanh,0,rmsprop,l2,4.6880e-05,2.4953e-06,32,15,0.4,46,0.1161
24,0.0001,0.2,selu,1,adam,l1,2.8411e-05,1.0205e-05,64,30,0.8,32,0.1164
16,0.01,0.0,relu,1,adam,elasticnet,1.6211e-06,1.7768e-06,128,15,0.5,30,0.116
16,0.001,0.2,selu,0,sgd,elasticnet,4.5213e-05,5.1371e-05,128,40,0.7,49,0.1257
24,0.0001,0.1,selu,0,rmsprop,elasticnet,1.2740e-06,5.2789e-06,16,40,0.7,29,0.1162
24,0.01,0.2,tanh,0,rmsprop,l1,2.7050e-06,2.1927e-06,128,50,0.1,19,0.1163
24,0.01,0.3,tanh,1,adam,l2,3.4579e-06,1.4152e-05,32,40,0.5,09,0.116
16,0.001,0.1,selu,1,rmsprop,l2,2.6563e-05,1.5244e-06,128,30,0.3,20,0.116
16,0.001,0.3,tanh,1,adam,elasticnet,9.3598e-06,2.8228e-06,128,15,0.4,47,0.1161
