learning_rate,dropout_rate,num_conv_layers,conv_units,padding,pooling_type,use_batch_norm,pooling_size,activation,optimizer,dense_units,latent_dim,regularization_type,l1_reg,l2_reg,batch_size,epochs,l1_ratio,Trial ID,Final Validation Loss
0.0001,0.0,4,64,same,max,0,3x3,tanh,rmsprop,4,2,elasticnet,8.1513e-06,1.2071e-06,32,40,0.9,14,1.4216
0.01,0.3,2,32,same,average,1,2x2,relu,sgd,2,2,elasticnet,5.0999e-06,1.3859e-05,16,30,0.1,16,3.721
0.0001,0.1,3,128,same,max,0,2x1,tanh,adam,16,2,l1,3.4274e-06,1.0248e-05,64,15,0.6,39,1.6046
0.0001,0.0,4,32,same,max,0,2x2,relu,sgd,8,2,elasticnet,8.7511e-05,2.5000e-05,32,30,0.8,44,2.5936
0.01,0.4,3,32,same,average,0,3x3,relu,rmsprop,6,2,l2,1.4275e-06,3.0418e-06,32,30,,01,2.5546
0.001,0.0,2,128,same,max,1,3x1,tanh,rmsprop,2,2,elasticnet,4.2515e-05,3.9271e-06,16,30,0.2,42,3.4594
0.001,0.2,3,128,same,max,0,2x1,relu,sgd,4,2,l2,7.4468e-05,1.8791e-05,32,50,0.8,35,1.4394
0.01,0.3,4,64,same,average,1,2x2,relu,rmsprop,8,2,elasticnet,9.2244e-06,7.1011e-05,128,40,0.6,12,1.475
0.0001,0.4,3,96,same,max,0,2x1,relu,adam,4,2,l2,1.2098e-06,8.2894e-06,64,15,0.5,17,2.5581
0.01,0.3,4,32,same,max,0,3x3,selu,sgd,4,2,l2,6.0330e-05,2.7667e-05,32,15,0.5,38,
0.001,0.0,3,32,same,average,0,2x2,selu,sgd,2,2,l1,1.4639e-06,2.9634e-06,128,50,0.7,15,2.5512
0.001,0.3,2,128,same,average,1,3x1,selu,sgd,12,2,l1,2.4908e-06,1.8358e-05,16,50,0.6,08,3.4799
0.001,0.4,4,128,same,max,1,2x1,selu,sgd,2,2,l2,1.7927e-06,1.7887e-06,16,15,0.5,46,1.6816
0.001,0.4,4,32,same,average,1,2x2,tanh,adam,4,2,elasticnet,1.8910e-05,2.9581e-05,64,30,0.0,07,1.5331
0.001,0.4,2,96,same,max,1,3x3,selu,adam,16,2,elasticnet,6.5961e-05,2.5320e-05,16,50,0.4,37,3.4717
0.01,0.4,3,32,same,average,0,3x3,relu,sgd,12,2,l2,5.1038e-06,3.2680e-06,64,30,0.6,48,15.6279
0.001,0.3,2,64,same,average,1,3x1,tanh,rmsprop,14,2,l2,1.1259e-06,9.4283e-06,32,30,0.4,34,3.4366
0.001,0.2,4,32,same,average,1,3x3,selu,sgd,14,2,l1,1.1104e-06,9.8067e-06,64,30,0.9,33,1.4312
0.0001,0.4,3,96,same,average,1,3x3,tanh,rmsprop,2,2,elasticnet,1.3565e-05,7.3007e-05,64,15,0.0,21,2.1285
0.0001,0.0,4,96,same,average,1,3x3,relu,adam,6,2,l2,1.5209e-05,1.0832e-05,64,40,,06,1.4885
0.0001,0.2,2,32,same,max,1,3x3,tanh,sgd,14,2,elasticnet,1.3664e-05,1.0609e-06,64,40,0.4,09,3.478
0.0001,0.3,2,96,same,average,1,2x2,selu,sgd,14,2,l2,2.1921e-06,1.0000e-06,16,15,,00,3.4669
